Job;Standard;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created;;;Functietitel;Gestandaardiseerde titel
Projectleider (energiesector);;Netherlands;Noord-Brabant;Den Bosch;117;6;0;0;0;0;0;0.051282;0;0;0;0;22-5-2025;6-5-2025;;;Financieel Medewerker Amersfoort;Financieel medewerker
Projectleider (energiesector);;Netherlands;Noord-Brabant;Den Bosch;101;5;2;0;1.56;3.9;0;0.049505;0;0.4;0;7.8;19-6-2025;2-6-2025;;;Financial Risk & Data Traineeship;Financieel professional
Projectleider Bouw;;Netherlands;Groningen (provincie);Marum;105;7;0;0;0;0;0;0.066667;0;0;0;0;22-5-2025;16-5-2025;;;Financial Risk & Data Traineeship;Financieel professional
Projectleider Bouw;;Netherlands;Friesland;Leeuwarden;73;7;0;0;0;0;0;0.09589;0;0;0;0;19-6-2025;2-6-2025;;;Assistent Beleggen;Financiâle Dienstverleningsassistent
Projectleider Bouw;;Netherlands;Overijssel;Zwolle;114;7;0;0;0;0;0;0.061404;0;0;0;0;19-6-2025;2-6-2025;;;Finance Talent Program;Financiân
Projectleider Bouw;;Netherlands;Flevoland;Lelystad;37;3;1;0;4;12;0;0.081081;0;0.333333;0;12;19-6-2025;2-6-2025;;;Finance Talenten Programma;Financiân
Projectleider Bouw;;Netherlands;Friesland;Drachten;80;5;0;0;0;0;0;0.0625;0;0;0;0;19-6-2025;2-6-2025;;;Finance Talenten Programma;Financiân
Projectleider Bouw;;Netherlands;Groningen (provincie);Groningen;107;6;0;0;0;0;0;0.056075;0;0;0;0;19-6-2025;2-6-2025;;;Finance Talenten Programma;Financiân
Projectleider Civiel;;Netherlands;Groningen (provincie);Groningen;142;6;0;0;0;0;0;0.042254;0;0;0;0;19-6-2025;2-6-2025;;;Junior AML-Analist;Financiân
Projectleider Civiel;;Netherlands;Friesland;Drachten;90;4;1;0;20.325;8.13;0;0.044444;0;0.25;0;8.13;19-6-2025;2-6-2025;;;Junior Subsidieadviseur Den Haag;Financiân
Projectleider Civiel;;Netherlands;Friesland;Leeuwarden;73;4;1;0;20.325;8.13;0;0.054795;0;0.25;0;8.13;19-6-2025;2-6-2025;;;Junior Subsidieadviseur Utrecht;Financiân
Projectleider Civiel;;Netherlands;Overijssel;Zwolle;127;10;1;0;0.438;4.38;0;0.07874;0;0.1;0;4.38;19-6-2025;2-6-2025;;;Junior Subsidieadviseur Zwolle;Financiân
Projectleider Civiel;;Netherlands;Flevoland;Lelystad;45;3;1;0;16.500.000.000.000.000;4.95;0;0.066667;0;0.333333;0;4.95;19-6-2025;2-6-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Civiel;;Netherlands;Noord-Holland;;15;1;0;0;0;0;0;0.066667;0;0;0;0;28-6-2025;27-6-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Elektrotechniek Utiliteitsbouw;;Netherlands;Noord-Holland;Schiphol;33;2;0;0;0;0;0;0.060606;0;0;0;0;28-6-2025;25-6-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Rotterdam;66;4;0;0;0;0;0;0.060606;0;0;0;0;8-8-2025;1-8-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Den Haag;97;4;0;0;0;0;0;0.041237;0;0;0;0;8-8-2025;1-8-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Utrecht (provincie);Utrecht;96;3;0;0;0;0;0;0.03125;0;0;0;0;8-8-2025;1-8-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Utrecht (provincie);Utrecht;32;4;1;0;44.875;17.95;0;0.125;0;0.25;0;17.95;1-10-2025;1-9-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Noord-Holland;Haarlem;59;7;0;0;0;0;0;0.118644;0;0;0;0;1-10-2025;1-9-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Rotterdam;50;3;0;0;0;0;0;0.06;0;0;0;0;1-10-2025;1-9-2025;;;Junior Subsidiebehandelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Leiden;41;4;0;0;0;0;0;0.097561;0;0;0;0;1-10-2025;1-9-2025;;;Junior Subsidiebeoordelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Den Haag;89;1;0;0;0;0;0;0.011236;0;0;0;0;24-10-2025;2-10-2025;;;Junior Subsidiebeoordelaar;Financiân
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Leiden;58;2;0;0;0;0;0;0.034483;0;0;0;0;24-10-2025;2-10-2025;;;Traineeship Hypotheekacceptatie;Financiân
Projectleider Energietechniek;;Netherlands;Noord-Holland;Haarlem;57;1;0;0;0;0;0;0.017544;0;0;0;0;24-10-2025;2-10-2025;;;Traineeship KYC;Financiân
Projectleider Energietechniek;;Netherlands;Utrecht (provincie);Utrecht;91;2;0;0;0;0;0;0.021978;0;0;0;0;24-10-2025;15-10-2025;;;Firmware Engineer;Firmware-ingenieur
Projectleider Energietechniek;;Netherlands;Utrecht (provincie);Utrecht;61;2;0;0;0;0;0;0.032787;0;0;0;0;24-10-2025;15-10-2025;;;Functioneel Beheerder;Functioneel manager
Projectleider Energietechniek;;Netherlands;Zuid-Holland;Rotterdam;43;3;0;0;0;0;0;0.069767;0;0;0;0;24-10-2025;15-10-2025;;;Functioneel Beheerder;Functioneel manager
