Job;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created
Maintenance Engineer;Netherlands;Friesland;Drachten;169;6;1;0;2.521.666.666.666.660;15.13;0;0.035503;0;0.166667;0;15.13;22-5-2025;20-5-2025
Maintenance Engineer;Netherlands;Overijssel;Oldenzaal;132;11;1;0;1.518.181.818.181.810;16.7;0;0.083333;0;0.090909;0;16.7;22-5-2025;20-5-2025
Maintenance Engineer;Netherlands;Overijssel;Hengelo OV;241;14;0;0;0;0;0;0.058091;0;0;0;0;22-5-2025;20-5-2025
Maintenance Engineer;Netherlands;Overijssel;Deventer;67;5;0;0;0;0;0;0.074627;0;0;0;0;19-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Drenthe;Beilen;83;5;0;0;0;0;0;0.060241;0;0;0;0;19-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;130;12;2;0;10.899.999.999.999.900;6.539.999.999.999.990;0;0.092308;0;0.166667;0;13.079.999.999.999.900;19-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Noord-Holland;Lutjewinkel;22;1;0;0;0;0;0;0.045455;0;0;0;0;2-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Friesland;Leeuwarden;108;9;0;0;0;0;0;0.083333;0;0;0;0;19-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;98;10;0;0;0;0;0;0.102041;0;0;0;0;19-6-2025;2-6-2025
Maintenance Engineer;Netherlands;Overijssel;Deventer;101;5;2;0;6.17;15.425;0;0.049505;0;0.4;0;30.85;11-6-2025;6-6-2025
Maintenance Engineer;Netherlands;Drenthe;Hoogeveen;77;2;0;0;0;0;0;0.025974;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Flevoland;Emmeloord;50;1;0;0;0;0;0;0.02;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Drenthe;Coevorden;79;1;0;0;0;0;0;0.012658;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;74;4;0;0;0;0;0;0.054054;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Friesland;Leeuwarden;144;1;1;0;9.13;9.13;0;0.006944;0;1;0;9.13;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Overijssel;Steenwijk;58;3;0;0;0;0;0;0.051724;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Friesland;Workum;57;2;0;0;0;0;0;0.035088;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Drenthe;Assen;48;4;1;0;60.425;24.17;0;0.083333;0;0.25;0;24.17;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Overijssel;Ommen;7;1;0;0;0;0;0;0.142857;0;0;0;0;16-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;59;3;0;0;0;0;0;0.050847;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Delfzijl;43;3;0;0;0;0;0;0.069767;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;4;1;0;0;0;0;0;0.25;0;0;0;0;16-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Friesland;Wolvega;58;2;0;0;0;0;0;0.034483;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Noord-Holland;Schagen;53;6;0;0;0;0;0;0.113208;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;61;4;0;0;0;0;0;0.065574;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Marum;121;3;0;0;0;0;0;0.024793;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Overijssel;Oldenzaal;2;0;0;0;0;0;0;0;0;0;0;0;16-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Overijssel;Zwolle;58;4;0;0;0;0;0;0.068966;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Bedum;38;3;0;0;0;0;0;0.078947;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Drenthe;Meppel;60;3;0;0;0;0;0;0.05;0;0;0;0;19-6-2025;16-6-2025
Maintenance Engineer;Netherlands;Overijssel;Hengelo OV;73;11;0;0;0;0;0;0.150685;0;0;0;0;28-6-2025;23-6-2025
Maintenance Engineer;Netherlands;Noord-Holland;Lutjewinkel;114;13;2;0;0.47846153846153844;3.11;0;0.114035;0;0.153846;0;6.22;8-8-2025;4-8-2025
Maintenance Engineer;Netherlands;Drenthe;Emmen;66;10;1;0;0.196;1.96;0;0.151515;0;0.1;0;1.96;8-8-2025;4-8-2025
Maintenance Engineer;Netherlands;Groningen (provincie);Groningen;135;11;5;0;18.836.363.636.363.600;4.144;0;0.081481;0;0.454545;0;20.72;8-8-2025;4-8-2025
